timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-05-12 | 12:21:43,32.1,59.3,0.42626953125,0.054,0.0,-58
2025-05-12 | 12:21:45,32.1,59.1,0.27880859375,0.054,0.0,-58
2025-05-12 | 12:21:48,32.1,59.5,0.356201171875,0.054,0.0,-58
2025-05-12 | 12:21:50,32.2,59.4,0.287353515625,0.054,0.0,-58
2025-05-12 | 12:21:52,32.1,59.3,0.35693359375,0.054,0.0,-57
2025-05-12 | 12:21:54,32.1,59.4,0.35498046875,0.054,0.0,-58
2025-05-12 | 12:21:56,32.1,59.3,0.29345703125,0.054,0.0,-58
2025-05-12 | 12:21:58,32.1,59.4,0.300537109375,0.054,0.0,-58
2025-05-12 | 12:22:00,32.1,59.4,0.191650390625,0.054,0.0,-58
2025-05-12 | 12:22:03,32.1,59.3,0.241455078125,0.054,0.0,-59
2025-05-12 | 12:22:05,32.1,59.3,0.30078125,0.054,0.0,-58
2025-05-12 | 12:22:07,32.1,59.3,0.291259765625,0.054,0.0,-58
2025-05-12 | 12:22:09,32.1,59.3,0.2568359375,0.054,0.0,-57
2025-05-12 | 12:22:12,32.1,59.4,0.26708984375,0.054,0.0,-57
2025-05-12 | 12:22:16,32.1,59.3,0.2802734375,0.054,0.0,-59
2025-05-12 | 12:22:20,32.1,59.4,0.2607421875,0.054,0.0,-58
2025-05-12 | 12:22:21,32.1,59.4,0.125,0.054,0.0,-59
2025-05-12 | 12:22:24,32.1,59.4,0.12939453125,0.054,0.0,-59
2025-05-12 | 12:22:26,32.1,59.3,0.124755859375,0.054,0.0,-57
2025-05-12 | 12:22:28,32.1,59.3,0.15625,0.054,0.0,-58
2025-05-12 | 12:22:30,32.1,59.2,0.129638671875,0.054,0.0,-59
2025-05-12 | 12:22:32,32.1,59.3,0.193359375,0.054,0.0,-57
2025-05-12 | 12:22:34,32.1,59.2,0.252685546875,0.054,0.0,-57
2025-05-12 | 12:22:37,32.1,59.4,0.26123046875,0.054,0.0,-59
